subject,session,source_file,rule,window_id,state,label,segment_id,retained_interval_id,window_start_s,window_end_s,duration_s,observed_span_s,n_samples,fs,window_start_index,window_end_index,source_start_index,source_end_index,signal_file,sqi_pass,sqi_artifact_samples,sqi_artifact_fraction,stationarity_pass,variance_stability_metric,stationarity_pass_raw,variance_stability_metric_raw,analysis_included,exclusion_reason
,17,sample_17.csv,T30,T30_17_00001,Awake,0,1,1,2.920237541,63.13071299,60,60.210475449,1500,24.99287703003033,0,1500,0,1500,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.04700779753372321,True,0.15319493572159704,True,
,17,sample_17.csv,T30,T30_17_00002,Awake,0,1,1,63.16997719,123.390276,60,60.22029881,1500,24.99287703003033,1500,3000,1500,3000,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.026649828464252973,True,0.069272212118343,True,
,17,sample_17.csv,T30,T30_17_00003,Awake,0,1,1,123.4301121,183.6504252,60,60.2203131,1500,24.99287703003033,3000,4500,3000,4500,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.05931391419684815,True,0.0802845835596019,True,
,17,sample_17.csv,T30,T30_17_00004,Awake,0,1,1,183.6908448,243.9102092,60,60.21936439999999,1500,24.99287703003033,4500,6000,4500,6000,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.1463520408202645,True,0.11906191683241728,True,
,17,sample_17.csv,T30,T30_17_00005,Awake,0,1,1,243.9505813,304.1701581,60,60.21957679999997,1500,24.99287703003033,6000,7500,6000,7500,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.058432670578703695,True,0.10998555403884064,True,
,17,sample_17.csv,T30,T30_17_00006,Awake,0,1,1,304.2099636,364.4302495,60,60.22028590000002,1500,24.99287703003033,7500,9000,7500,9000,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.1446534176068336,True,0.33132847135379034,True,
,17,sample_17.csv,T30,T30_17_00007,Awake,0,1,1,364.470644,424.689873,60,60.219228999999984,1500,24.99287703003033,9000,10500,9000,10500,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.23463947407154062,True,0.34460966580877067,True,
,17,sample_17.csv,T30,T30_17_00008,Awake,0,1,1,424.7300355,484.9499464,60,60.2199109,1500,24.99287703003033,10500,12000,10500,12000,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.2989483129808426,True,0.4387689639495253,True,
,17,sample_17.csv,T30,T30_17_00009,Awake,0,1,1,484.990648,545.2005541,60,60.209906099999955,1500,24.99287703003033,12000,13500,12000,13500,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.18142891195354277,True,0.300851457873604,True,
,17,sample_17.csv,T30,T30_17_00010,Awake,0,1,1,545.2500286,605.4605656,60,60.210537000000045,1500,24.99287703003033,13500,15000,13500,15000,T30/filtered_sessions/sample_17.csv,True,0,0.0,True,0.1610934878686239,True,0.13439270538354442,True,
